,i_index,j_index,obs,PF
0,6,-297,40.64,69.3716973069343
1,7,-300,37.22,80.69238837516573
2,6,-302,23.54,43.86833896838322
3,8,-308,43.31,39.857112201332086
4,6,-311,17.33,40.8646633897829
5,10,-297,13.45,12.050245259109143
6,8,-304,12.51,0.004285136666415731
7,6,-313,10.63,14.74247434559884
8,11,-261,64.01,44.82115328839232
9,13,-257,16.76,29.885611883429274
10,15,-256,19.48,37.89666156974728
11,12,-258,18.29,36.501613819481456
12,12,-260,27.43,31.42370550541451
13,17,-274,5.49,67.43010303045237
14,14,-257,2.3,13.085653318880881
15,17,-274,1.83,67.43010303045237
16,14,-292,12.8,22.230353097380956
17,15,-304,7.92,29.321396207695138
18,19,-293,29.84,0.3538663095123451
19,19,-317,10.67,47.13308081751902
20,20,-228,15.24,17.809313951758604
21,20,-244,71.63,136.5146519682049
22,18,-255,0.48,52.40910400650427
23,19,-258,6.1,0.17688866563828104
24,20,-276,2.44,72.69915885618994
25,19,-301,36.58,13.236444695083266
26,16,-305,22.85,55.62386426655598
27,18,-228,12.19,12.738101844470128
28,19,-228,6.1,4.550377838615042
29,20,-284,16.7,38.76539443420608
30,18,-307,24.38,32.37891576055537
31,19,-311,17.37,31.333930905193345
32,19,-311,18.02,31.333930905193345
33,20,-320,17.68,30.247064675034366
34,20,-320,19.81,30.247064675034366
35,20,-224,1.68,32.941113575492054
36,23,-226,7.06,0.11385921426947344
37,23,-249,17.98,0.25596306183258194
38,21,-253,3.96,0.13441769059871486
39,20,-258,12.19,0.34967056985383727
40,21,-320,46.63,52.61545957768219
41,23,-226,12.19,0.11385921426947344
42,22,-248,25.76,5.303450290323916
43,22,-247,12.8,0.11490543872274084
44,21,-324,7.62,44.702768388619916
45,22,-313,9.44,26.53879239714437
46,27,-264,7.56,185.1020338240879
47,26,-284,7.18,33.77413646006765
48,28,-326,9.75,30.351938515982457
49,27,-329,19.02,27.90284285282829
50,29,-314,33.53,15.738971933906855
