x,y,obs
6,297,40.64
7,300,37.22
6,302,23.54
8,308,43.31
6,311,17.33
10,297,13.45
8,304,12.51
6,313,10.63
11,261,64.01
13,257,16.76
15,256,19.48
12,258,18.29
12,260,27.43
17,274,5.49
14,257,2.3
17,274,1.83
14,292,12.8
15,304,7.92
19,293,29.84
19,317,10.67
20,228,15.24
20,244,71.63
18,255,0.48
19,258,6.1
20,276,2.44
19,301,36.58
16,305,22.85
18,228,12.19
19,228,6.1
20,284,16.7
18,307,24.38
19,311,17.37
19,311,18.02
20,320,17.68
20,320,19.81
20,224,1.68
23,226,7.06
23,249,17.98
21,253,3.96
20,258,12.19
21,320,46.63
23,226,12.19
22,248,25.76
22,247,12.8
21,324,7.62
22,313,9.44
27,264,7.56
26,284,7.18
28,326,9.75
27,329,19.02
29,314,33.53
28,326,16.76
28,326,9.0
29,276,26.21
31,281,6.4
27,281,2.56
30,307,18.58
28,329,28.96
29,239,3.32
29,284,3.35
29,284,3.96
32,327,8.6
32,327,10.15
33,242,12.19
33,242,12.19
32,273,14.78
31,276,37.49
33,302,2.74
30,315,3.05
33,327,6.88
34,276,6.1
32,304,3.96
31,317,13.81
33,321,18.08
32,282,13.86
34,328,29.57
33,327,11.49
35,326,16.76
35,383,15.24
35,220,41.15
35,236,7.62
35,278,41.43
32,307,23.47
35,317,7.88
36,322,45.72
35,320,17.57
36,326,21.2
35,325,4.57
35,390,18.29
36,236,13.72
36,323,16.14
37,372,10.67
36,382,6.1
38,236,19.81
37,239,19.2
35,320,15.24
34,329,17.07
38,377,18.29
38,382,0.61
35,218,10.67
38,236,18.29
39,313,17.13
35,325,3.25
36,329,36.58
39,365,28.35
37,363,54.86
38,369,7.83
38,374,12.19
38,380,3.05
35,383,17.07
39,388,6.1
39,388,8.08
37,213,6.1
36,219,6.1
37,287,2.44
39,310,9.14
38,312,8.84
37,317,24.38
37,324,26.69
40,367,4.57
37,381,9.14
37,385,6.72
41,215,7.62
40,216,3.05
40,311,15.24
39,374,4.57
37,382,5.49
37,387,30.25
39,207,4.27
39,207,1.52
40,216,2.44
40,315,45.72
38,319,20.4
42,350,7.67
42,362,8.54
40,370,3.22
40,375,6.1
40,375,8.31
40,380,23.77
38,379,30.48
40,269,8.9
43,350,17.28
41,362,3.05
40,370,3.66
44,350,20.82
44,350,46.63
44,361,4.57
43,360,24.38
41,380,1.83
45,196,13.36
45,225,3.66
41,228,7.62
41,228,9.14
45,376,18.29
43,382,3.05
41,386,7.62
45,385,17.07
45,389,1.83
45,196,36.58
42,297,15.24
44,371,8.56
43,377,2.8
44,376,6.1
43,385,25.91
47,323,15.24
44,336,59.44
47,339,4.57
44,338,45.72
44,341,20.73
46,362,1.34
43,382,6.1
45,196,19.81
46,201,15.24
46,331,2.13
47,335,9.14
48,341,1.83
47,355,15.24
46,380,31.37
48,378,7.79
46,387,8.74
48,321,7.92
47,339,4.57
47,342,3.66
47,358,3.05
47,358,1.83
49,367,10.98
49,369,14.78
49,373,24.42
45,376,15.24
48,380,5.38
50,197,30.48
49,197,23.16
49,325,15.24
50,325,5.49
47,327,3.66
46,331,3.96
46,332,4.88
50,348,1.52
50,354,3.05
46,361,3.05
47,357,6.1
46,387,10.97
51,126,1.83
50,197,30.48
51,232,10.36
47,237,18.29
51,255,24.99
49,320,12.19
47,327,3.66
49,328,0.91
49,352,1.52
50,365,3.31
47,378,46.56
48,378,6.96
49,318,15.82
48,323,2.93
51,326,9.14
50,342,1.22
50,350,3.66
49,353,0.61
52,389,4.96
51,392,14.63
51,391,1.83
49,202,7.62
51,314,18.61
50,318,7.62
50,326,2.96
49,339,1.94
50,342,2.18
50,342,5.08
49,376,9.14
49,376,9.14
53,386,1.21
52,388,0.0
49,391,15.24
51,391,1.16
54,317,4.57
50,320,9.59
54,322,49.9
52,324,21.58
54,322,26.21
50,326,3.09
52,330,3.05
51,332,1.7
50,341,4.57
53,367,30.48
50,374,2.74
51,376,20.79
52,376,9.14
50,376,22.67
52,381,6.1
51,386,30.48
52,389,5.4
55,196,15.85
55,255,39.93
54,318,5.01
52,330,3.66
51,362,1.61
51,362,3.05
51,362,1.52
55,369,24.72
53,375,30.48
53,392,12.64
56,197,11.09
52,207,29.62
53,208,19.81
54,210,5.24
55,214,21.71
53,216,11.58
54,223,48.94
55,238,12.19
53,283,6.71
55,318,14.51
54,321,13.96
53,322,6.32
52,354,15.09
52,355,8.72
55,370,69.19
53,390,44.97
52,389,9.85
52,389,5.77
56,393,9.14
56,393,8.11
54,125,18.29
55,345,36.34
53,343,9.46
54,345,8.28
57,358,7.32
55,372,0.91
57,373,5.49
54,385,9.75
57,386,7.62
56,393,7.71
56,112,6.71
56,128,3.05
58,208,6.1
55,231,12.8
56,308,4.57
56,334,0.32
55,345,34.2
54,347,45.72
54,353,82.3
58,359,6.71
58,359,35.47
58,362,22.8
58,362,24.38
58,362,21.34
58,373,9.14
55,388,32.92
54,390,16.81
58,227,17.07
55,266,6.1
56,306,20.41
59,301,18.98
59,308,3.85
55,346,36.97
55,345,21.39
59,355,41.15
58,362,21.34
58,378,3.05
58,383,30.3
57,384,44.2
58,391,21.34
58,387,9.37
58,390,8.49
57,391,4.57
55,394,16.7
58,119,27.43
58,277,7.62
58,303,17.14
60,318,13.77
60,317,9.87
60,329,2.44
56,346,13.01
56,346,3.6
56,346,3.66
56,347,37.83
58,346,39.42
60,357,35.54
