site_name,id,value,date,lon,lat,x,y
Delaware River at Belvidere NJ,1446500,2930.0,2002-10-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2210.0,2002-10-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,1840.0,2002-10-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,1790.0,2002-10-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,1980.0,2002-10-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2420.0,2002-10-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2340.0,2002-10-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2190.0,2002-10-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2240.0,2002-10-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,2100.0,2002-10-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,3900.0,2002-10-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13100.0,2002-10-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18000.0,2002-10-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14900.0,2002-10-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10200.0,2002-10-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8830.0,2002-10-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17600.0,2002-10-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,26200.0,2002-10-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,16800.0,2002-10-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12400.0,2002-10-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9870.0,2002-10-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8150.0,2002-10-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6900.0,2002-10-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5950.0,2002-10-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5130.0,2002-10-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5950.0,2002-10-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7740.0,2002-10-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8560.0,2002-10-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7090.0,2002-10-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6240.0,2002-10-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5770.0,2002-10-31,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5300.0,2002-11-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4940.0,2002-11-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4770.0,2002-11-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4540.0,2002-11-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4110.0,2002-11-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4320.0,2002-11-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5120.0,2002-11-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5780.0,2002-11-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5560.0,2002-11-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4840.0,2002-11-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4370.0,2002-11-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4440.0,2002-11-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5220.0,2002-11-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7190.0,2002-11-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7150.0,2002-11-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6650.0,2002-11-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10400.0,2002-11-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,21200.0,2002-11-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,22400.0,2002-11-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17700.0,2002-11-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15100.0,2002-11-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13900.0,2002-11-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14500.0,2002-11-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15000.0,2002-11-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13300.0,2002-11-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11700.0,2002-11-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10600.0,2002-11-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9850.0,2002-11-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8580.0,2002-11-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7720.0,2002-11-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7210.0,2002-12-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6960.0,2002-12-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6920.0,2002-12-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6140.0,2002-12-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5590.0,2002-12-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5390.0,2002-12-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,5330.0,2002-12-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4630.0,2002-12-08,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4350.0,2002-12-09,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4020.0,2002-12-10,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,4390.0,2002-12-11,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,6740.0,2002-12-12,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,7700.0,2002-12-13,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9920.0,2002-12-14,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13700.0,2002-12-15,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14000.0,2002-12-16,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12600.0,2002-12-17,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10400.0,2002-12-18,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9080.0,2002-12-19,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10000.0,2002-12-20,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14700.0,2002-12-21,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17300.0,2002-12-22,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,14200.0,2002-12-23,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12900.0,2002-12-24,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11800.0,2002-12-25,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,11200.0,2002-12-26,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10700.0,2002-12-27,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,10600.0,2002-12-28,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9700.0,2002-12-29,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9420.0,2002-12-30,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,8420.0,2002-12-31,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,9390.0,2003-01-01,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,18800.0,2003-01-02,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,27600.0,2003-01-03,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,21700.0,2003-01-04,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,17700.0,2003-01-05,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,15400.0,2003-01-06,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,13900.0,2003-01-07,-75.10352234,40.80571422,228,303
Delaware River at Belvidere NJ,1446500,12600.0,2003-01-08,-75.10352234,40.80571422,228,303
