,x_loc,y_loc
0,25.0,124.0
1,25.0,124.0
2,25.0,124.0
3,25.0,125.0
4,25.0,125.0
5,25.0,125.0
6,25.0,125.0
7,25.0,125.0
8,25.0,125.0
9,25.0,125.0
10,25.0,125.0
11,25.0,125.0
12,25.0,125.0
13,25.0,125.0
14,25.0,126.0
15,25.0,126.0
16,25.0,126.0
17,25.0,126.0
18,25.0,126.0
19,25.0,126.0
20,25.0,126.0
21,25.0,126.0
22,25.0,126.0
23,25.0,126.0
24,25.0,127.0
25,25.0,127.0
26,25.0,127.0
27,25.0,127.0
28,25.0,127.0
29,25.0,127.0
30,25.0,127.0
31,25.0,127.0
32,25.0,127.0
33,25.0,127.0
34,25.0,127.0
35,25.0,128.0
36,25.0,128.0
37,25.0,128.0
38,25.0,128.0
39,25.0,128.0
40,25.0,128.0
41,25.0,128.0
42,25.0,128.0
43,25.0,128.0
44,25.0,128.0
45,25.0,128.0
46,25.0,129.0
47,25.0,129.0
48,25.0,129.0
49,25.0,129.0
50,25.0,129.0
51,25.0,129.0
52,25.0,129.0
53,25.0,129.0
54,24.0,129.0
55,24.0,129.0
56,24.0,129.0
57,24.0,130.0
58,24.0,130.0
59,24.0,130.0
60,24.0,130.0
61,24.0,130.0
62,24.0,130.0
63,24.0,130.0
64,24.0,130.0
65,24.0,130.0
66,24.0,130.0
67,24.0,131.0
68,24.0,131.0
69,24.0,131.0
70,24.0,131.0
71,24.0,131.0
72,24.0,131.0
73,24.0,131.0
74,24.0,131.0
75,24.0,131.0
76,24.0,131.0
77,24.0,131.0
78,24.0,132.0
79,24.0,132.0
80,24.0,132.0
81,24.0,132.0
82,24.0,132.0
83,24.0,132.0
84,24.0,132.0
85,24.0,132.0
86,24.0,132.0
87,24.0,132.0
88,24.0,132.0
89,24.0,133.0
90,24.0,133.0
91,24.0,133.0
92,24.0,133.0
93,24.0,133.0
94,24.0,133.0
95,24.0,133.0
96,24.0,133.0
97,24.0,133.0
98,24.0,133.0
99,24.0,133.0
100,24.0,134.0
101,24.0,134.0
102,24.0,134.0
103,24.0,134.0
104,24.0,134.0
105,24.0,134.0
106,24.0,134.0
107,24.0,134.0
108,24.0,134.0
109,24.0,134.0
110,24.0,135.0
111,24.0,135.0
112,24.0,135.0
113,23.0,135.0
114,23.0,135.0
115,23.0,135.0
116,23.0,135.0
117,23.0,135.0
118,23.0,135.0
119,23.0,135.0
120,23.0,135.0
121,23.0,136.0
122,23.0,136.0
123,23.0,136.0
124,23.0,136.0
125,23.0,136.0
126,23.0,136.0
127,23.0,136.0
128,23.0,136.0
129,23.0,136.0
130,23.0,136.0
131,23.0,136.0
132,23.0,137.0
133,23.0,137.0
134,23.0,137.0
135,23.0,137.0
136,23.0,137.0
137,23.0,137.0
138,23.0,137.0
139,23.0,137.0
140,23.0,137.0
141,23.0,137.0
142,23.0,137.0
143,23.0,138.0
144,23.0,138.0
145,23.0,138.0
146,23.0,138.0
147,23.0,138.0
148,23.0,138.0
149,23.0,138.0
150,23.0,138.0
151,23.0,138.0
152,23.0,138.0
153,23.0,138.0
154,23.0,139.0
155,23.0,139.0
156,23.0,139.0
157,23.0,139.0
158,23.0,139.0
159,23.0,139.0
160,23.0,139.0
161,23.0,139.0
162,23.0,139.0
163,23.0,139.0
164,23.0,139.0
165,23.0,140.0
166,23.0,140.0
167,23.0,140.0
168,23.0,140.0
169,22.0,140.0
170,22.0,140.0
171,22.0,140.0
172,22.0,140.0
173,22.0,140.0
174,22.0,140.0
175,22.0,141.0
176,22.0,141.0
177,22.0,141.0
178,22.0,141.0
179,22.0,141.0
180,22.0,141.0
181,22.0,141.0
182,22.0,141.0
183,22.0,141.0
184,22.0,141.0
185,22.0,141.0
186,22.0,142.0
187,22.0,142.0
188,22.0,142.0
189,22.0,142.0
190,22.0,142.0
191,22.0,142.0
192,22.0,142.0
193,22.0,142.0
194,22.0,142.0
195,22.0,142.0
196,22.0,142.0
197,22.0,143.0
198,22.0,143.0
199,22.0,143.0
200,22.0,143.0
201,22.0,143.0
202,22.0,143.0
203,22.0,143.0
204,22.0,143.0
205,22.0,143.0
206,22.0,143.0
207,22.0,143.0
208,22.0,144.0
209,22.0,144.0
210,22.0,144.0
211,22.0,144.0
212,22.0,144.0
213,22.0,144.0
214,22.0,144.0
215,22.0,144.0
216,22.0,144.0
217,22.0,144.0
218,22.0,144.0
219,22.0,145.0
220,22.0,145.0
221,22.0,145.0
222,22.0,145.0
223,22.0,145.0
224,21.0,145.0
225,21.0,145.0
226,21.0,145.0
227,21.0,145.0
228,21.0,145.0
229,21.0,145.0
230,21.0,146.0
231,21.0,146.0
